snapshot,volume_A3
1,0.000
2,0.000
3,0.000
4,74.750
5,37.740
6,0.000
7,0.000
8,0.000
9,28.160
10,0.000
11,0.000
12,0.000
13,0.000
14,0.000
15,27.650
16,0.000
17,0.000
18,0.000
19,0.000
20,0.000
21,0.000
22,43.560
23,0.000
24,0.000
25,0.000
26,0.000
27,28.980
28,0.000
29,0.000
30,0.000
31,0.000
32,0.000
33,0.000
34,0.000
35,24.620
36,61.580
37,50.810
38,0.000
39,0.000
40,0.000
41,0.000
42,0.000
43,53.810
44,0.000
45,55.890
46,0.000
47,0.000
48,0.000
49,0.000
50,97.450
51,49.120
52,0.000
53,0.000
54,24.700
55,0.000
56,0.000
57,0.000
58,45.600
59,0.000
60,0.000
61,63.940
62,0.000
63,51.100
64,0.000
65,0.000
66,55.100
67,0.000
68,0.000
69,0.000
70,0.000
71,0.000
72,0.000
73,0.000
74,0.000
75,0.000
76,0.000
77,0.000
78,50.280
79,0.000
80,0.000
81,0.000
82,0.000
83,0.000
84,29.760
85,0.000
86,52.700
87,0.000
88,0.000
89,50.560
90,0.000
91,0.000
92,0.000
93,0.000
94,0.000
95,0.000
96,49.330
97,0.000
98,39.430
99,60.870
100,0.000
101,0.000
102,0.000
103,0.000
104,0.000
105,0.000
106,44.680
107,45.680
108,0.000
109,0.000
110,0.000
111,0.000
112,53.270
113,0.000
114,0.000
115,55.340
116,0.000
117,47.050
118,0.000
119,0.000
120,56.330
121,0.000
122,0.000
123,0.000
124,0.000
125,0.000
126,0.000
127,0.000
128,0.000
129,0.000
130,0.000
131,0.000
132,0.000
133,0.000
134,0.000
135,24.090
136,0.000
137,0.000
138,48.910
139,0.000
140,0.000
141,0.000
142,63.470
143,0.000
144,0.000
145,0.000
146,25.390
147,0.000
148,0.000
149,0.000
150,0.000
151,0.000
152,0.000
153,0.000
154,0.000
155,0.000
156,0.000
157,0.000
158,0.000
159,0.000
160,0.000
161,0.000
162,0.000
163,0.000
164,0.000
165,0.000
166,0.000
167,36.890
168,0.000
169,0.000
170,0.000
171,0.000
172,29.380
173,0.000
174,0.000
175,0.000
176,0.000
