snapshot,volume_A3
1,0.000
2,0.000
3,65.800
4,32.510
5,0.000
6,84.360
7,0.000
8,49.460
9,0.000
10,0.000
11,0.000
12,0.000
13,0.000
14,0.000
15,33.040
16,0.000
17,41.090
18,0.000
19,0.000
20,0.000
21,26.330
22,0.000
23,55.620
24,0.000
25,0.000
26,0.000
27,0.000
28,48.160
29,44.490
30,0.000
31,0.000
32,41.750
33,120.660
34,0.000
35,39.800
36,49.310
37,0.000
38,0.000
39,84.130
40,0.000
41,0.000
42,87.100
43,27.590
44,103.190
45,0.000
46,47.660
47,66.760
48,0.000
49,0.000
50,0.000
51,33.900
52,0.000
53,0.000
54,37.540
55,0.000
56,87.820
57,0.000
58,0.000
59,29.050
60,0.000
61,66.970
62,0.000
63,0.000
64,0.000
65,0.000
66,0.000
67,28.780
68,0.000
69,0.000
70,28.450
71,0.000
72,0.000
73,0.000
74,83.120
75,40.190
76,34.390
77,28.510
78,0.000
79,121.720
80,0.000
81,0.000
82,28.580
83,48.520
84,161.060
85,0.000
86,0.000
87,27.740
88,0.000
89,72.390
90,0.000
91,49.240
92,0.000
93,0.000
94,0.000
95,0.000
96,0.000
97,136.720
98,143.440
99,27.710
100,28.050
101,50.820
102,33.180
103,0.000
104,60.510
105,51.500
106,57.900
107,54.870
108,0.000
109,0.000
110,114.640
111,0.000
112,0.000
113,0.000
114,87.780
115,41.020
116,38.940
117,0.000
118,51.960
119,0.000
120,96.550
121,107.860
122,174.050
123,0.000
124,81.820
125,37.180
126,95.170
127,164.520
128,55.200
129,0.000
130,0.000
131,147.840
132,0.000
133,163.390
134,0.000
135,94.540
136,26.260
137,0.000
138,0.000
139,55.920
140,0.000
141,0.000
142,0.000
143,0.000
144,106.060
145,0.000
146,73.600
147,0.000
148,0.000
149,0.000
150,124.660
151,0.000
152,174.940
153,140.650
154,136.850
155,139.290
156,246.840
157,126.700
158,117.100
159,150.380
160,59.350
161,167.260
162,136.170
163,0.000
164,132.110
165,144.860
166,94.980
167,107.960
168,98.210
169,103.490
170,0.000
171,87.870
172,153.150
173,124.770
174,151.890
175,119.390
176,147.590
