snapshot,volume_A3
1,0.000
2,27.790
3,29.350
4,0.000
5,0.000
6,25.600
7,55.700
8,24.790
9,29.200
10,41.530
11,58.460
12,0.000
13,37.050
14,0.000
15,0.000
16,83.380
17,47.790
18,77.320
19,0.000
20,27.460
21,104.030
22,0.000
23,0.000
24,0.000
25,0.000
26,0.000
27,0.000
28,0.000
29,43.610
30,0.000
31,0.000
32,0.000
33,0.000
34,0.000
35,0.000
36,152.880
37,0.000
38,0.000
39,0.000
40,0.000
41,0.000
42,40.000
43,33.170
44,0.000
45,38.530
46,55.480
47,0.000
48,43.590
49,0.000
50,59.030
51,0.000
52,0.000
53,41.490
54,27.000
55,0.000
56,0.000
57,53.440
58,31.420
59,0.000
60,0.000
61,0.000
62,0.000
63,92.580
64,0.000
65,0.000
66,0.000
67,0.000
68,0.000
69,28.790
70,0.000
71,0.000
72,24.880
73,56.180
74,37.790
75,39.370
76,0.000
77,36.480
78,0.000
79,0.000
80,0.000
81,0.000
82,0.000
83,0.000
84,0.000
85,0.000
86,0.000
87,86.790
88,30.650
89,0.000
90,0.000
91,52.530
92,0.000
93,0.000
94,43.050
95,32.890
96,38.410
97,60.290
98,46.620
99,0.000
100,0.000
101,0.000
102,0.000
103,0.000
104,0.000
105,0.000
106,0.000
107,0.000
108,105.560
109,0.000
110,53.890
111,0.000
112,81.850
113,50.090
114,59.510
115,72.400
116,58.990
117,64.520
118,58.560
119,57.570
120,75.430
121,132.300
122,45.430
123,0.000
124,68.230
125,35.080
126,0.000
127,29.480
128,164.870
129,204.730
130,157.560
131,159.380
132,151.750
133,0.000
134,169.730
135,124.490
136,147.210
137,138.060
138,160.440
139,163.440
140,98.730
141,0.000
142,55.750
143,0.000
144,0.000
145,85.290
146,0.000
147,47.260
148,0.000
149,0.000
150,26.850
151,44.620
152,111.520
153,0.000
154,83.560
155,0.000
156,172.370
157,173.000
158,132.770
159,107.000
160,234.210
161,97.210
162,109.750
163,131.620
164,97.930
165,63.630
166,114.880
167,153.750
168,0.000
169,0.000
170,151.140
171,151.160
172,197.660
173,96.550
174,121.760
175,104.090
176,84.270
177,176.230
178,99.280
179,126.820
180,120.630
181,130.680
182,31.040
183,0.000
184,0.000
185,0.000
186,115.320
187,0.000
188,97.510
189,0.000
190,96.150
191,166.980
192,48.090
193,52.350
194,72.580
195,31.670
196,97.910
197,75.140
198,191.890
199,170.410
200,0.000
201,27.210
202,65.610
203,79.500
204,26.450
205,114.020
206,0.000
207,0.000
208,0.000
209,192.090
210,95.690
211,49.300
212,0.000
213,0.000
214,0.000
215,0.000
216,0.000
217,25.750
218,0.000
219,0.000
220,0.000
221,0.000
222,105.510
223,57.880
224,115.660
225,71.760
226,149.800
227,153.670
228,0.000
229,232.800
230,57.710
231,156.960
232,0.000
233,232.350
234,50.930
235,207.660
236,76.900
237,127.160
238,122.110
239,78.730
240,0.000
241,123.830
242,44.230
243,104.240
244,113.410
245,237.270
246,115.320
247,0.000
248,125.240
249,57.930
250,131.570
251,57.790
252,62.030
253,175.130
254,130.640
255,59.280
256,26.920
257,67.380
258,58.480
259,0.000
260,26.240
261,59.770
262,133.260
263,48.940
264,30.320
265,134.120
266,0.000
267,0.000
268,214.630
269,276.750
270,81.350
271,158.100
272,204.050
273,80.340
274,204.330
275,32.300
276,0.000
277,28.430
278,150.080
279,137.510
280,90.950
281,121.210
282,61.560
283,54.080
284,114.630
285,113.360
286,73.160
287,66.020
288,100.790
289,203.330
290,232.770
291,121.250
292,144.750
293,154.100
294,101.980
295,127.130
296,83.190
297,125.610
298,247.840
299,89.400
300,99.890
301,119.800
302,73.090
303,129.340
304,88.330
305,148.370
306,152.360
307,80.420
308,130.710
309,0.000
310,150.700
311,237.150
312,406.560
313,168.040
314,88.670
315,117.890
316,107.090
317,81.790
318,172.510
319,93.860
320,131.460
321,44.160
322,141.740
323,92.960
324,172.450
325,178.100
326,85.410
327,108.620
328,117.570
329,0.000
330,250.590
331,103.080
332,25.200
333,191.830
334,0.000
335,97.510
336,77.490
337,139.930
338,83.970
339,63.960
340,0.000
341,32.430
342,85.270
343,0.000
344,138.630
345,213.920
346,193.070
347,48.250
348,195.560
349,125.500
350,204.680
351,130.630
352,57.150
353,72.610
354,231.340
355,114.470
356,59.800
357,0.000
358,126.440
359,106.360
360,130.400
361,117.330
362,69.490
363,90.620
364,151.400
365,217.340
366,73.960
367,66.450
368,189.380
369,49.520
370,170.610
371,97.840
372,39.060
373,160.250
374,0.000
375,97.120
376,39.390
377,222.990
378,120.260
379,154.630
380,124.250
381,162.450
382,79.750
383,246.770
384,108.560
385,162.520
386,177.570
387,186.700
388,191.160
389,52.820
390,166.680
391,0.000
392,64.030
393,128.040
394,111.370
395,120.870
396,188.190
397,167.490
398,187.910
399,63.880
400,144.360
401,0.000
402,154.130
403,97.740
404,71.510
405,149.870
406,142.380
407,37.750
408,84.010
409,102.080
410,102.950
411,152.210
412,57.910
413,181.300
414,177.600
415,127.620
416,114.520
417,0.000
418,86.270
419,0.000
420,0.000
421,0.000
422,0.000
423,41.100
424,165.820
425,132.880
426,53.170
427,47.510
428,149.230
429,0.000
430,80.670
431,25.160
432,27.540
433,0.000
434,81.450
435,41.090
436,190.600
437,97.200
438,135.600
439,179.040
440,255.190
441,189.060
442,157.220
443,44.570
444,101.570
445,62.950
446,140.980
447,204.450
448,190.890
449,340.830
450,125.960
451,226.190
452,126.060
453,214.520
454,194.310
455,137.910
456,47.310
457,80.890
458,129.300
459,85.750
460,173.220
461,66.770
462,103.750
463,135.720
464,66.210
465,203.430
466,112.570
467,70.640
468,26.310
469,114.770
470,205.700
471,61.890
472,208.840
473,306.980
474,161.580
475,98.730
476,121.550
477,227.050
478,66.980
479,89.080
480,72.990
481,266.520
482,70.750
483,103.690
484,128.380
485,110.790
486,143.450
487,115.890
488,215.920
489,165.260
490,96.440
491,147.990
492,0.000
493,259.570
494,112.320
495,219.780
496,102.870
497,109.190
498,94.540
499,118.430
500,103.520
501,103.310
502,37.970
503,159.660
504,100.060
505,80.730
506,136.650
507,62.170
508,46.110
509,125.420
510,93.320
511,163.640
512,207.500
513,38.730
514,210.320
515,77.950
516,0.000
517,0.000
518,98.660
519,173.350
520,36.280
521,244.420
522,167.510
523,31.950
524,157.830
525,225.370
526,152.610
527,155.620
528,147.030
529,250.960
530,323.720
531,285.730
532,251.680
533,52.800
534,107.660
535,281.800
536,160.240
537,49.730
538,210.080
539,91.510
540,250.660
541,84.340
542,134.430
543,46.630
544,184.560
545,182.400
546,56.270
547,281.630
548,69.750
549,229.840
550,75.000
551,40.220
552,180.710
553,120.410
554,135.600
555,187.850
556,101.600
557,72.820
558,261.590
559,108.170
560,76.410
561,122.510
562,219.730
