snapshot,volume_A3
1,0.000
2,108.090
3,63.100
4,0.000
5,0.000
6,0.000
7,54.970
8,43.580
9,0.000
10,45.000
11,36.650
12,54.900
13,0.000
14,0.000
15,45.750
16,84.240
17,0.000
18,36.080
19,0.000
20,0.000
21,0.000
22,31.050
23,0.000
24,45.240
25,0.000
26,0.000
27,0.000
28,0.000
29,0.000
30,0.000
31,0.000
32,0.000
33,0.000
34,0.000
35,0.000
36,0.000
37,0.000
38,0.000
39,26.200
40,0.000
41,0.000
42,0.000
43,0.000
44,0.000
45,0.000
46,0.000
47,0.000
48,0.000
49,0.000
50,0.000
51,0.000
52,0.000
53,0.000
54,0.000
55,0.000
56,0.000
57,0.000
58,0.000
59,0.000
60,0.000
61,29.130
62,37.020
63,24.970
64,0.000
65,0.000
66,67.870
67,96.310
68,45.650
69,0.000
70,0.000
71,0.000
72,0.000
73,0.000
74,0.000
75,0.000
76,0.000
77,0.000
78,0.000
79,66.990
80,0.000
81,40.540
82,47.530
83,25.160
84,0.000
85,0.000
86,32.060
87,0.000
88,0.000
89,0.000
90,33.520
91,0.000
92,0.000
93,69.490
94,32.510
95,28.780
96,63.810
97,94.600
98,45.320
99,38.820
100,0.000
101,0.000
102,80.420
103,37.640
104,78.520
105,0.000
106,47.260
107,71.450
108,103.230
109,42.030
110,89.390
111,83.330
112,54.630
113,94.530
114,51.180
115,47.550
116,60.080
117,87.740
118,107.960
119,117.600
120,71.060
121,77.520
122,0.000
123,0.000
124,0.000
125,40.480
126,0.000
127,58.530
128,87.900
129,0.000
130,38.790
131,26.080
132,67.450
133,0.000
134,116.050
135,42.530
136,54.570
137,84.800
138,60.110
139,54.430
140,0.000
141,0.000
142,0.000
143,0.000
144,67.970
145,0.000
146,0.000
147,0.000
148,66.230
149,47.920
150,25.620
151,0.000
152,44.660
153,0.000
154,59.970
155,34.010
156,37.570
157,78.990
158,80.140
159,0.000
160,34.260
161,28.200
162,37.690
163,34.730
164,0.000
165,24.380
166,0.000
167,0.000
168,79.780
169,0.000
170,0.000
171,46.660
172,0.000
173,28.400
174,98.400
175,27.430
176,31.160
177,0.000
178,0.000
179,0.000
180,0.000
181,0.000
182,24.870
183,0.000
184,0.000
185,29.400
186,0.000
187,0.000
188,0.000
189,0.000
190,0.000
191,0.000
192,0.000
193,0.000
194,0.000
195,0.000
196,0.000
197,0.000
198,78.000
199,32.430
200,0.000
201,85.680
202,37.580
203,0.000
204,0.000
205,0.000
206,0.000
207,87.590
208,61.950
209,25.970
210,0.000
211,39.270
212,0.000
213,0.000
214,0.000
215,0.000
216,25.390
217,0.000
218,0.000
219,0.000
220,0.000
221,0.000
222,28.850
223,41.700
224,28.380
225,44.810
226,39.250
227,41.810
228,32.460
229,0.000
230,30.170
231,0.000
232,0.000
233,0.000
234,0.000
235,0.000
236,24.340
237,50.570
238,0.000
239,0.000
240,0.000
241,29.120
242,34.970
243,0.000
244,0.000
245,0.000
246,80.320
247,38.980
248,57.200
249,0.000
250,33.600
251,26.510
252,0.000
253,0.000
254,73.250
255,0.000
256,0.000
257,0.000
258,0.000
259,0.000
260,0.000
261,0.000
262,0.000
263,0.000
264,25.040
265,0.000
266,0.000
267,25.200
268,61.990
269,25.060
270,29.830
271,0.000
272,25.720
273,0.000
274,27.000
275,0.000
276,0.000
277,0.000
278,0.000
279,0.000
280,24.690
281,0.000
282,27.140
283,0.000
284,32.860
285,51.860
286,30.280
287,0.000
288,0.000
289,0.000
290,0.000
291,0.000
292,0.000
293,0.000
294,0.000
295,43.430
296,29.590
297,28.670
298,55.260
299,0.000
300,0.000
301,0.000
302,0.000
303,0.000
304,25.420
305,0.000
306,0.000
307,0.000
308,0.000
309,0.000
310,0.000
311,0.000
312,0.000
313,0.000
314,0.000
315,33.080
316,0.000
317,27.050
318,0.000
319,0.000
320,25.360
321,0.000
322,0.000
323,0.000
324,0.000
325,32.590
326,0.000
327,0.000
328,0.000
329,0.000
330,0.000
331,0.000
332,0.000
333,0.000
334,27.420
335,0.000
336,0.000
337,28.650
338,0.000
339,0.000
340,0.000
341,0.000
342,37.850
343,0.000
