snapshot,volume_A3
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,0.000
7,0.000
8,0.000
9,0.000
10,0.000
11,0.000
12,0.000
13,0.000
14,0.000
15,0.000
16,0.000
17,0.000
18,46.100
19,0.000
20,0.000
21,0.000
22,0.000
23,0.000
24,0.000
25,0.000
26,0.000
27,0.000
28,42.650
29,0.000
30,0.000
31,0.000
32,0.000
33,0.000
34,0.000
35,0.000
36,0.000
37,0.000
38,0.000
39,0.000
40,0.000
41,0.000
42,0.000
43,0.000
44,0.000
45,0.000
46,0.000
47,0.000
48,0.000
49,0.000
50,0.000
51,0.000
52,0.000
53,0.000
54,0.000
55,0.000
56,25.180
57,0.000
58,0.000
59,45.060
60,0.000
61,60.160
62,38.410
63,0.000
64,41.910
65,0.000
66,85.240
67,0.000
68,0.000
69,44.430
70,0.000
71,0.000
72,59.170
73,76.910
74,140.530
75,70.120
76,0.000
77,36.080
78,0.000
79,0.000
80,0.000
81,43.500
82,92.250
83,0.000
84,81.000
85,0.000
86,60.990
87,0.000
88,25.560
89,0.000
90,0.000
91,25.030
92,31.800
93,52.670
94,97.070
95,54.080
96,24.260
97,0.000
98,0.000
99,61.480
100,0.000
101,0.000
102,0.000
103,91.610
104,53.650
105,55.520
106,40.950
107,41.520
108,0.000
109,34.360
110,40.780
111,48.190
112,0.000
113,62.460
114,26.300
115,26.350
116,36.080
117,0.000
118,24.840
119,31.540
120,0.000
121,31.460
122,0.000
123,0.000
124,0.000
125,0.000
126,0.000
127,30.940
128,0.000
129,0.000
130,0.000
131,0.000
132,0.000
133,0.000
134,0.000
135,0.000
136,0.000
137,0.000
138,27.980
139,31.560
140,0.000
141,0.000
142,0.000
143,0.000
144,0.000
145,0.000
146,0.000
147,0.000
148,0.000
149,25.530
150,0.000
151,42.310
152,24.760
153,0.000
154,0.000
155,0.000
156,0.000
157,0.000
158,49.140
159,40.380
160,0.000
161,0.000
162,0.000
163,35.650
164,0.000
165,0.000
166,0.000
167,59.140
168,0.000
169,0.000
170,39.810
171,46.400
172,31.500
173,0.000
174,0.000
175,0.000
176,0.000
