snapshot,volume_A3
1,0.000
2,0.000
3,0.000
4,35.640
5,0.000
6,0.000
7,46.970
8,0.000
9,46.990
10,0.000
11,0.000
12,0.000
13,0.000
14,0.000
15,0.000
16,0.000
17,24.270
18,30.200
19,101.490
20,0.000
21,0.000
22,0.000
23,67.380
24,64.870
25,0.000
26,40.950
27,104.290
28,52.900
29,64.540
30,53.470
31,42.370
32,33.740
33,64.710
34,0.000
35,0.000
36,0.000
37,0.000
38,0.000
39,0.000
40,39.370
41,30.670
42,0.000
43,0.000
44,0.000
45,0.000
46,0.000
47,80.630
48,60.170
49,0.000
50,0.000
51,0.000
52,0.000
53,40.320
54,0.000
55,0.000
56,0.000
57,0.000
58,0.000
59,0.000
60,0.000
61,0.000
62,0.000
63,24.520
64,0.000
65,0.000
66,60.670
67,26.340
68,37.570
69,35.210
70,41.970
71,47.100
72,50.560
73,32.910
74,27.310
75,34.920
76,0.000
77,0.000
78,0.000
79,0.000
80,0.000
81,0.000
82,0.000
83,0.000
84,0.000
85,0.000
86,0.000
87,34.750
88,0.000
89,0.000
90,0.000
91,0.000
92,0.000
93,0.000
94,0.000
95,37.240
96,0.000
97,0.000
98,0.000
99,0.000
100,59.160
101,0.000
102,0.000
103,0.000
104,0.000
105,0.000
106,0.000
107,0.000
108,26.960
109,80.440
110,54.030
111,0.000
112,24.500
113,37.350
114,40.070
115,51.100
116,0.000
117,0.000
118,53.200
119,0.000
120,35.750
121,108.040
122,0.000
123,0.000
124,0.000
125,59.410
126,44.930
127,0.000
128,67.550
129,42.700
130,0.000
131,87.000
132,62.060
133,0.000
134,0.000
135,110.130
136,0.000
137,52.340
138,47.360
139,0.000
140,31.260
141,0.000
142,0.000
143,48.960
144,119.720
145,65.340
146,0.000
147,0.000
148,0.000
149,62.030
150,35.390
151,89.200
152,52.150
153,79.490
154,60.150
155,56.130
156,90.030
157,50.250
158,33.530
159,44.170
160,75.420
161,64.800
162,47.980
163,77.850
164,87.720
165,32.680
166,64.750
167,130.310
168,103.390
169,52.130
170,90.240
171,117.120
172,0.000
173,40.970
174,89.670
175,93.560
176,50.960
