snapshot,volume_A3
1,0.000
2,0.000
3,63.350
4,45.690
5,0.000
6,117.770
7,54.460
8,0.000
9,0.000
10,0.000
11,100.130
12,88.360
13,42.460
14,119.010
15,0.000
16,47.730
17,74.460
18,160.300
19,36.730
20,115.200
21,68.370
22,75.170
23,0.000
24,219.850
25,111.820
26,71.810
27,0.000
28,86.690
29,50.650
30,107.640
31,140.960
32,0.000
33,115.850
34,49.240
35,104.920
36,24.490
37,114.640
38,69.570
39,128.030
40,58.690
41,75.290
42,48.360
43,108.640
44,142.580
45,202.180
46,125.150
47,154.330
48,137.930
49,0.000
50,130.840
51,179.190
52,25.280
53,136.340
54,176.900
55,33.470
56,228.910
57,96.610
58,154.830
59,157.600
60,258.580
61,228.410
62,335.180
63,93.310
64,271.060
65,0.000
66,90.220
67,136.090
68,124.640
69,143.440
70,172.240
71,239.730
72,226.150
73,115.440
74,0.000
75,220.260
76,180.810
77,262.080
78,282.490
79,41.380
80,86.950
81,69.310
82,278.100
83,230.370
84,246.550
85,243.120
86,28.050
87,115.770
88,147.550
89,193.610
90,61.990
91,66.450
92,180.670
93,237.500
94,301.430
95,290.650
96,201.080
97,221.960
98,227.480
99,203.800
100,204.740
101,195.160
102,80.460
103,122.430
104,132.370
105,255.050
106,213.820
107,235.950
108,48.800
109,173.550
110,128.340
111,204.660
112,231.330
113,145.490
114,172.290
115,60.540
116,217.350
117,212.170
118,191.340
119,290.390
120,213.300
121,176.540
122,202.170
123,170.760
124,195.180
125,237.310
126,232.310
127,193.400
128,252.480
129,206.060
130,0.000
131,185.250
132,154.570
133,118.920
134,256.840
135,262.560
136,201.770
137,151.440
138,168.380
139,255.800
140,210.960
141,219.670
142,208.010
143,266.310
144,224.230
145,201.010
146,214.100
147,45.640
148,279.870
149,175.480
150,205.670
151,225.820
152,207.820
153,113.460
154,189.910
155,248.050
156,165.500
157,183.340
158,335.000
159,205.730
160,266.260
161,245.670
162,275.090
163,76.230
164,234.060
165,245.710
166,218.670
167,145.380
168,174.620
169,186.190
170,188.900
171,112.140
172,60.760
173,189.480
174,208.870
175,135.710
176,234.820
