snapshot,volume_A3
1,0.000
2,27.830
3,0.000
4,63.780
5,70.530
6,0.000
7,129.460
8,101.420
9,172.470
10,80.670
11,123.140
12,76.350
13,35.510
14,81.820
15,0.000
16,0.000
17,103.060
18,130.640
19,101.920
20,48.390
21,43.340
22,67.850
23,75.900
24,64.820
25,63.730
26,81.960
27,113.100
28,106.440
29,55.320
30,47.460
31,67.210
32,67.830
33,70.930
34,166.360
35,124.840
36,78.010
37,0.000
38,40.320
39,97.670
40,99.720
41,65.980
42,31.600
43,64.850
44,42.270
45,30.030
46,66.350
47,103.520
48,39.640
49,43.740
50,76.620
51,50.990
52,0.000
53,32.910
54,0.000
55,70.290
56,118.920
57,68.940
58,83.440
59,83.970
60,0.000
61,85.990
62,42.950
63,103.120
64,77.810
65,138.410
66,79.300
67,26.670
68,84.640
69,31.110
70,67.690
71,98.150
72,148.600
73,101.700
74,115.890
75,54.090
76,72.270
77,53.580
78,67.260
79,57.970
80,60.940
81,0.000
82,91.140
83,61.730
84,107.210
85,72.930
86,54.460
87,98.100
88,78.720
89,35.950
90,54.730
91,155.690
92,57.650
93,109.640
94,129.680
95,39.030
96,161.830
97,133.410
98,80.030
99,88.750
100,74.900
101,29.460
102,73.800
103,51.380
104,0.000
105,0.000
106,41.030
107,115.160
108,168.270
109,135.410
110,129.770
111,65.330
112,0.000
113,0.000
114,79.530
115,93.680
116,98.010
117,59.090
118,115.100
119,90.480
120,114.820
121,147.030
122,69.940
123,62.470
124,193.200
125,0.000
126,101.520
127,43.120
128,76.960
129,66.880
130,77.000
131,178.730
132,129.810
133,99.000
134,68.360
135,105.520
136,127.690
137,56.940
138,124.760
139,137.920
140,149.760
141,104.050
142,91.770
143,96.670
144,68.810
145,259.640
146,51.330
147,59.040
148,116.510
149,178.670
150,125.380
151,109.750
152,67.270
153,86.660
154,54.590
155,224.240
156,109.890
157,76.250
158,63.120
159,162.990
160,111.060
161,142.600
162,82.560
163,212.500
164,95.840
165,116.990
166,197.760
167,247.140
168,124.950
169,124.880
170,52.070
171,88.940
172,115.640
173,56.640
174,94.300
175,191.070
176,85.340
177,72.090
178,168.320
179,146.600
180,33.420
181,259.680
182,92.480
183,78.260
184,24.630
185,100.510
186,0.000
187,69.120
188,102.920
189,61.600
190,77.580
191,142.090
192,65.810
193,39.350
194,128.690
195,77.550
196,91.860
197,156.230
198,74.050
199,160.890
200,185.200
201,128.980
202,156.590
203,86.380
204,104.740
205,0.000
206,46.550
207,64.660
208,65.640
209,0.000
210,106.640
211,110.320
212,72.330
213,110.800
214,139.730
215,27.590
216,50.750
217,0.000
218,84.510
219,133.280
220,92.720
221,205.910
222,99.590
223,52.540
224,110.520
225,141.880
226,69.300
227,38.030
228,103.290
229,71.930
230,0.000
231,93.720
232,114.880
233,206.930
234,142.920
235,120.010
236,184.890
237,200.470
238,279.170
239,174.970
240,125.010
241,86.300
242,168.120
243,64.450
244,68.150
245,91.730
246,46.930
247,69.700
248,74.670
249,0.000
250,63.670
251,115.980
252,209.620
253,114.520
254,119.410
255,147.760
256,103.130
257,75.810
258,110.560
259,122.930
260,79.720
261,42.180
262,46.800
263,65.900
264,45.620
265,89.030
266,134.550
267,25.100
268,91.650
269,88.210
270,46.540
271,102.750
272,134.440
273,47.790
274,67.340
275,153.050
276,65.220
277,97.110
278,72.860
279,96.580
280,94.850
281,79.760
282,91.910
283,103.200
284,93.810
285,102.670
286,69.060
287,106.600
288,87.160
289,63.120
290,44.320
291,77.230
292,122.630
293,70.020
294,101.230
295,86.930
296,68.200
297,84.630
298,87.290
299,78.940
300,144.240
301,0.000
302,99.590
303,72.050
304,46.090
305,74.140
306,66.920
307,65.650
308,66.630
309,98.970
310,138.220
311,153.890
312,138.100
313,139.540
314,128.610
315,111.550
316,134.580
317,102.940
318,110.200
319,76.790
320,72.220
321,92.520
322,127.720
323,44.630
324,0.000
325,114.100
326,91.110
327,103.440
328,77.030
329,102.430
330,75.170
331,132.250
332,129.560
333,49.650
334,79.170
335,94.020
336,144.160
337,48.880
338,88.790
339,134.750
340,0.000
341,116.020
342,0.000
343,134.740
344,110.680
345,93.590
346,61.520
347,108.820
348,169.690
349,53.420
350,133.960
351,63.130
352,0.000
353,34.710
354,0.000
355,65.730
356,52.270
357,39.140
358,41.200
359,74.780
360,83.440
361,0.000
362,121.740
363,66.990
364,29.160
365,59.490
