snapshot,volume_A3
1,0.000
2,85.560
3,0.000
4,0.000
5,0.000
6,0.000
7,26.930
8,26.360
9,0.000
10,0.000
11,43.320
12,0.000
13,0.000
14,0.000
15,35.490
16,99.800
17,30.120
18,82.160
19,85.330
20,0.000
21,0.000
22,56.980
23,82.450
24,0.000
25,25.170
26,47.510
27,82.850
28,0.000
29,66.850
30,0.000
31,0.000
32,0.000
33,113.180
34,40.060
35,56.510
36,42.150
37,71.530
38,179.230
39,86.390
40,101.110
41,75.590
42,0.000
43,110.240
44,96.100
45,92.410
46,44.760
47,70.450
48,84.930
49,136.690
50,48.460
51,88.650
52,0.000
53,84.330
54,79.320
55,33.420
56,79.720
57,174.890
58,91.330
59,106.730
60,241.320
61,185.320
62,28.810
63,68.230
64,84.970
65,157.830
66,79.750
67,152.910
68,172.130
69,61.980
70,184.200
71,212.450
72,240.350
73,54.310
74,72.200
75,113.200
76,160.830
77,223.020
78,160.330
79,264.880
80,211.630
81,154.790
82,288.140
83,366.210
84,172.610
85,81.290
86,162.240
87,158.610
88,184.040
89,0.000
90,184.250
91,232.550
92,112.470
93,56.020
94,104.550
95,72.000
96,102.270
97,135.830
98,207.410
99,58.680
100,0.000
101,316.160
102,0.000
103,193.160
104,122.720
105,199.360
106,114.080
107,152.760
108,163.380
109,216.700
110,194.970
111,170.980
112,258.050
113,163.210
114,103.790
115,185.600
116,122.150
117,125.900
118,91.500
119,161.650
120,342.080
121,172.160
122,241.320
123,38.240
124,35.400
125,197.360
126,161.740
127,135.290
128,73.990
129,147.410
130,116.090
131,179.950
132,152.870
133,220.150
134,76.160
135,137.100
136,300.670
137,254.090
138,193.180
139,251.920
140,186.290
141,49.550
142,155.250
143,94.310
144,188.320
145,179.410
146,184.850
147,235.300
148,84.140
149,123.150
150,75.030
151,144.630
152,132.280
153,260.280
154,175.900
155,81.270
156,107.330
157,0.000
158,90.170
159,160.060
160,113.450
161,66.820
162,246.470
163,125.750
164,63.320
165,96.210
166,194.930
167,129.070
168,188.080
169,189.880
170,68.390
171,183.120
172,127.430
173,153.100
174,96.510
175,38.290
176,63.550
177,123.090
178,136.740
179,58.710
180,210.720
181,145.920
182,126.170
183,112.150
184,193.880
185,120.980
186,130.390
187,83.630
188,35.670
189,68.380
190,178.090
191,142.450
192,230.700
193,43.110
194,86.620
195,111.250
196,169.040
197,158.860
198,139.510
199,65.370
200,85.240
201,80.350
202,183.770
203,142.620
204,93.670
205,194.230
206,210.990
207,165.880
208,275.380
209,148.380
210,224.590
211,84.560
212,148.970
213,197.740
214,225.020
215,138.210
216,171.280
217,82.990
218,141.030
219,47.220
220,230.490
221,179.210
222,76.350
223,141.680
224,70.740
225,24.140
226,226.650
227,100.770
228,163.220
229,262.570
230,206.080
231,127.330
232,220.340
233,130.780
234,0.000
235,177.750
236,187.370
237,168.490
238,185.230
239,155.610
240,113.860
241,174.280
242,268.460
243,53.940
244,144.990
245,139.060
246,219.860
247,283.960
248,95.100
249,0.000
250,0.000
251,189.900
252,182.870
253,126.600
254,0.000
255,25.820
256,72.190
257,65.360
258,163.550
259,38.340
260,0.000
261,86.030
262,74.010
263,52.610
264,77.260
265,88.630
266,0.000
267,0.000
268,131.910
269,181.580
270,67.470
271,225.410
272,102.570
273,118.540
274,162.980
275,165.870
276,209.700
277,190.050
278,142.910
279,192.330
280,96.270
281,224.250
282,73.400
283,73.260
284,33.610
285,153.760
286,141.640
287,23.590
288,0.000
289,94.660
290,89.150
291,78.240
292,82.240
293,39.920
294,57.970
295,113.990
296,61.620
297,66.560
298,65.630
299,217.160
300,128.750
301,41.490
302,132.560
303,139.990
304,148.870
305,0.000
306,95.900
307,38.580
308,87.050
309,136.750
