snapshot,volume_A3
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,0.000
7,0.000
8,0.000
9,0.000
10,0.000
11,0.000
12,0.000
13,31.630
14,75.140
15,0.000
16,61.490
17,45.060
18,0.000
19,0.000
20,41.570
21,0.000
22,30.210
23,90.080
24,0.000
25,0.000
26,0.000
27,0.000
28,0.000
29,0.000
30,0.000
31,0.000
32,27.110
33,44.950
34,0.000
35,0.000
36,45.110
37,0.000
38,59.520
39,0.000
40,0.000
41,0.000
42,0.000
43,0.000
44,28.140
45,0.000
46,42.640
47,0.000
48,0.000
49,0.000
50,0.000
51,0.000
52,0.000
53,0.000
54,0.000
55,0.000
56,0.000
57,0.000
58,0.000
59,0.000
60,0.000
61,0.000
62,0.000
63,0.000
64,0.000
65,0.000
66,0.000
67,0.000
68,0.000
69,0.000
70,0.000
71,0.000
72,0.000
73,0.000
74,0.000
75,0.000
76,0.000
77,0.000
78,0.000
79,0.000
80,0.000
81,0.000
82,0.000
83,0.000
84,0.000
85,0.000
86,0.000
87,0.000
88,0.000
89,0.000
90,0.000
91,0.000
92,0.000
93,0.000
94,0.000
95,0.000
96,0.000
97,0.000
98,0.000
99,0.000
100,0.000
101,0.000
102,0.000
103,0.000
104,0.000
105,0.000
106,0.000
107,0.000
108,0.000
109,0.000
110,62.500
111,0.000
112,0.000
113,39.590
114,0.000
115,0.000
116,0.000
117,0.000
118,0.000
119,0.000
120,0.000
121,0.000
122,0.000
123,0.000
124,72.430
125,42.740
126,90.820
127,0.000
128,37.860
129,38.170
130,0.000
131,64.260
132,34.540
133,35.140
134,0.000
135,75.980
136,71.670
137,0.000
138,64.510
139,69.170
140,34.260
141,54.960
142,90.280
143,41.310
144,35.710
145,48.230
146,0.000
147,53.200
148,43.720
149,54.390
150,39.710
151,36.250
152,38.370
153,56.820
154,65.200
155,31.790
156,51.760
157,32.120
158,0.000
159,88.880
160,47.870
161,82.550
162,34.750
163,35.310
164,0.000
165,45.410
166,81.520
167,30.040
168,57.810
169,44.430
170,51.460
171,43.400
172,0.000
173,59.910
174,29.480
175,29.430
176,0.000
