snapshot,volume_A3
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,39.560
7,0.000
8,0.000
9,0.000
10,0.000
11,0.000
12,0.000
13,0.000
14,0.000
15,0.000
16,0.000
17,0.000
18,0.000
19,0.000
20,0.000
21,0.000
22,0.000
23,0.000
24,0.000
25,0.000
26,0.000
27,0.000
28,0.000
29,0.000
30,0.000
31,0.000
32,0.000
33,0.000
34,0.000
35,0.000
36,24.230
37,0.000
38,0.000
39,0.000
40,38.880
41,0.000
42,0.000
43,0.000
44,0.000
45,0.000
46,30.080
47,0.000
48,0.000
49,0.000
50,0.000
51,0.000
52,0.000
53,0.000
54,0.000
55,30.760
56,0.000
57,0.000
58,41.590
59,0.000
60,0.000
61,0.000
62,0.000
63,0.000
64,0.000
65,27.160
66,61.630
67,26.840
68,0.000
69,0.000
70,0.000
71,44.210
72,50.310
73,35.000
74,40.010
75,37.590
76,49.910
77,28.330
78,38.990
79,46.580
80,0.000
81,0.000
82,65.760
83,0.000
84,0.000
85,32.690
86,26.410
87,58.040
88,57.650
89,68.930
90,0.000
91,45.160
92,0.000
93,0.000
94,0.000
95,32.270
96,30.190
97,0.000
98,0.000
99,0.000
100,51.040
101,0.000
102,48.830
103,41.450
104,44.760
105,0.000
106,25.780
107,31.470
108,0.000
109,0.000
110,0.000
111,0.000
112,0.000
113,28.540
114,0.000
115,32.800
116,33.900
117,35.040
118,25.570
119,41.080
120,31.500
121,42.660
122,28.890
123,0.000
124,0.000
125,0.000
126,0.000
127,24.750
128,0.000
129,0.000
130,0.000
131,61.590
132,0.000
133,0.000
134,0.000
135,27.040
136,0.000
137,0.000
138,0.000
139,32.670
140,0.000
141,32.490
142,51.130
143,25.570
144,85.000
145,0.000
146,54.640
147,0.000
148,0.000
149,62.010
150,0.000
151,28.480
152,47.470
153,71.810
154,69.010
155,0.000
156,37.480
157,0.000
158,50.020
159,57.610
160,0.000
161,50.720
162,52.180
163,53.640
164,0.000
165,43.040
166,0.000
167,45.590
168,57.980
169,54.430
170,73.420
171,40.950
172,0.000
173,0.000
174,53.120
175,59.830
176,0.000
