            ID: Identification of a given tunnel cluster = ranking of a given cluster 
                based on the Priority.
            No: Total number of tunnels belonging to a given cluster.
      No_snaps: Nubmer of snapshots with at least one tunnel 
                with a radius >= probe_radius (see config.txt).
        Avg_BR: Average bottleneck radius [A].
        Max_BR: Maximimum bottleneck radius [A].
         Avg_L: Average tunnel length [A].
         Avg_C: Average tunnel curvature.
      Priority: Tunnel priority calculated by averaging tunnel
                throughputs over all snapshots (zero value used for 
                snapshots without tunnel).
Avg_throughput: Average tunnel throughput.
   Avg_up_E_BR: Average upper error bound of bottleneck radius estimation.
   Avg_up_E_TR: Average upper error bound of tunnel profile radii estimation.
   Max_up_E_BR: Maximal upper errors bound of bottleneck radii estimation.
   Max_up_E_TR: Maximal upper error bound of tunnel radii estimation.
            SD: Standard deviation [A].
All averaged values are calculated over snapshots, where a given cluster has at least one tunnel. The only exception is the Priority, where the average is calculated over all snapshots.
If there are more tunnels in one snapshot, the cheapest tunnel is chosen. 



  ID      No   No_snaps   Avg_BR       SD   Max_BR    Avg_L      SD   Avg_C      SD    Priority  Avg_throughput       SD   Avg_up_E_BR      SD   Max_up_E_BR  Avg_up_E_TR   Max_up_E_TR
   1     107        107    1.492    0.252     2.24   20.259   2.926   1.314   0.191     0.52448         0.59310  0.08293             -       -             -            -             -
   2     105        105    1.452    0.236     2.12   19.216   2.370   1.381   0.111     0.51732         0.59615  0.07497             -       -             -            -             -
   3     101        101    1.195    0.163     1.58   21.706   3.632   1.282   0.111     0.42656         0.51102  0.09337             -       -             -            -             -
   4      87         87    1.427    0.213     1.84   22.338   3.654   1.292   0.092     0.39438         0.54851  0.08878             -       -             -            -             -
   5      56         56    1.759    0.314     2.24   17.214   3.246   1.211   0.085     0.31677         0.68446  0.08080             -       -             -            -             -
   6      51         51    1.141    0.135     1.43   24.701   7.045   1.489   0.348     0.20103         0.47696  0.13006             -       -             -            -             -
   7      49         49    1.135    0.147     1.50   22.702   3.204   1.304   0.096     0.18418         0.45481  0.07910             -       -             -            -             -
   8      27         27    1.147    0.169     1.43   22.732   2.929   1.476   0.184     0.10579         0.47409  0.09207             -       -             -            -             -
   9      23         23    1.167    0.220     1.69   19.106   3.308   1.289   0.066     0.09084         0.47788  0.11306             -       -             -            -             -
  10      24         24    0.968    0.053     1.07   31.317   2.565   1.866   0.192     0.05172         0.26074  0.04079             -       -             -            -             -
  11      13         13    1.158    0.149     1.48   24.230   4.231   1.441   0.134     0.04719         0.43927  0.08434             -       -             -            -             -
  12      11         11    1.154    0.133     1.37   23.993   2.532   1.407   0.129     0.03932         0.43255  0.07660             -       -             -            -             -
  13      18         18    0.956    0.067     1.22   31.289   2.451   1.485   0.092     0.03295         0.22148  0.05262             -       -             -            -             -
  14      10         10    1.040    0.096     1.25   26.009   3.348   1.354   0.167     0.02993         0.36219  0.10806             -       -             -            -             -
  15      15         15    0.996    0.077     1.19   33.743   3.453   1.325   0.110     0.02756         0.22230  0.06139             -       -             -            -             -
  16       9          9    1.056    0.070     1.16   29.355   3.206   1.694   0.128     0.02469         0.33197  0.04938             -       -             -            -             -
  17      13         13    0.956    0.038     1.07   35.850   4.464   1.909   0.197     0.02445         0.22759  0.03736             -       -             -            -             -
  18       9          9    1.023    0.107     1.22   26.639   2.472   1.451   0.063     0.02392         0.32160  0.07823             -       -             -            -             -
  19       7          7    1.081    0.167     1.44   26.006   3.066   1.656   0.151     0.02280         0.39406  0.08389             -       -             -            -             -
  20       6          6    1.072    0.133     1.29   36.209   4.207   1.618   0.101     0.01522         0.30691  0.06891             -       -             -            -             -
  21       5          5    0.994    0.059     1.09   32.242   5.186   1.614   0.297     0.01154         0.27917  0.06270             -       -             -            -             -
  22       6          6    0.954    0.037     1.03   33.552   3.132   1.844   0.189     0.00841         0.16963  0.04888             -       -             -            -             -
  23       7          7    0.939    0.027     0.98   43.478   6.590   2.274   0.306     0.00827         0.14290  0.04518             -       -             -            -             -
  24       5          5    0.943    0.020     0.98   35.695   5.560   1.738   0.229     0.00795         0.19233  0.06581             -       -             -            -             -
  25       2          2    1.078    0.040     1.12   26.441   0.269   1.423   0.023     0.00651         0.39361  0.00339             -       -             -            -             -
  26       3          3    0.951    0.030     0.99   29.230   3.154   1.551   0.057     0.00580         0.23391  0.02007             -       -             -            -             -
  27       5          5    0.939    0.031     1.00   46.713   2.888   1.810   0.097     0.00576         0.13943  0.03774             -       -             -            -             -
  28       5          5    0.927    0.017     0.96   39.010   3.396   2.029   0.242     0.00569         0.13764  0.02715             -       -             -            -             -
  29       7          7    0.973    0.074     1.14   52.693   4.521   2.640   0.287     0.00528         0.09124  0.02245             -       -             -            -             -
  30       3          3    0.907    0.003     0.91   33.044   0.751   1.673   0.049     0.00521         0.21003  0.01720             -       -             -            -             -
  31       3          3    0.933    0.012     0.95   32.056   3.858   1.550   0.153     0.00470         0.18937  0.02849             -       -             -            -             -
  32       5          5    0.938    0.014     0.96   45.240   4.524   2.297   0.155     0.00444         0.10751  0.02577             -       -             -            -             -
  33       3          3    0.961    0.051     1.03   36.813   1.389   1.687   0.153     0.00429         0.17317  0.00909             -       -             -            -             -
  34       2          2    1.016    0.061     1.08   36.927   1.909   1.856   0.072     0.00395         0.23889  0.01557             -       -             -            -             -
  35       2          2    1.039    0.019     1.06   36.401   1.852   1.811   0.179     0.00361         0.21851  0.00461             -       -             -            -             -
  36       2          2    0.969    0.032     1.00   34.916   4.797   1.776   0.139     0.00358         0.21645  0.05272             -       -             -            -             -
  37       1          1    0.985    0.000     0.98   19.251   0.000   1.872   0.000     0.00299         0.36205  0.00000             -       -             -            -             -
  38       1          1    0.949    0.000     0.95   29.249   0.000   1.587   0.000     0.00268         0.32449  0.00000             -       -             -            -             -
  39       2          2    0.956    0.055     1.01   40.050   8.256   1.861   0.211     0.00267         0.16176  0.03408             -       -             -            -             -
  40       2          2    0.909    0.005     0.91   35.571   7.336   1.843   0.388     0.00265         0.16041  0.03047             -       -             -            -             -
  41       2          2    0.929    0.029     0.96   36.500   1.980   1.414   0.086     0.00231         0.13984  0.02820             -       -             -            -             -
  42       1          1    0.967    0.000     0.97   31.715   0.000   1.274   0.000     0.00227         0.27419  0.00000             -       -             -            -             -
  43       2          2    0.937    0.025     0.96   43.908   2.892   2.386   0.313     0.00218         0.13182  0.03339             -       -             -            -             -
  44       1          1    0.934    0.000     0.93   25.029   0.000   1.340   0.000     0.00207         0.25032  0.00000             -       -             -            -             -
  45       1          1    0.910    0.000     0.91   30.756   0.000   1.788   0.000     0.00197         0.23833  0.00000             -       -             -            -             -
  46       1          1    0.911    0.000     0.91   24.309   0.000   1.230   0.000     0.00189         0.22881  0.00000             -       -             -            -             -
  47       3          3    0.953    0.035     1.00   52.141   4.981   2.722   0.291     0.00185         0.07444  0.03345             -       -             -            -             -
  48       3          3    0.933    0.030     0.97   63.632   1.679   3.286   0.200     0.00165         0.06638  0.01164             -       -             -            -             -
  49       1          1    0.911    0.000     0.91   31.116   0.000   1.771   0.000     0.00162         0.19650  0.00000             -       -             -            -             -
  50       2          2    0.957    0.013     0.97   49.487   4.756   2.842   0.429     0.00160         0.09655  0.01227             -       -             -            -             -
  51       1          1    0.908    0.000     0.91   38.174   0.000   1.711   0.000     0.00158         0.19113  0.00000             -       -             -            -             -
  52       1          1    0.947    0.000     0.95   32.232   0.000   1.275   0.000     0.00147         0.17753  0.00000             -       -             -            -             -
  53       1          1    1.011    0.000     1.01   37.950   0.000   1.827   0.000     0.00131         0.15864  0.00000             -       -             -            -             -
  54       1          1    0.930    0.000     0.93   42.696   0.000   2.228   0.000     0.00118         0.14289  0.00000             -       -             -            -             -
  55       1          1    0.946    0.000     0.95   43.919   0.000   2.673   0.000     0.00113         0.13644  0.00000             -       -             -            -             -
  56       1          1    0.937    0.000     0.94   36.998   0.000   1.600   0.000     0.00111         0.13491  0.00000             -       -             -            -             -
  57       1          1    0.950    0.000     0.95   36.108   0.000   1.909   0.000     0.00107         0.12920  0.00000             -       -             -            -             -
  58       1          1    0.996    0.000     1.00   46.509   0.000   2.730   0.000     0.00107         0.12890  0.00000             -       -             -            -             -
  59       2          2    0.931    0.017     0.95   59.685   7.207   2.635   0.126     0.00105         0.06380  0.01171             -       -             -            -             -
  60       1          1    0.902    0.000     0.90   34.026   0.000   1.324   0.000     0.00101         0.12268  0.00000             -       -             -            -             -
  61       1          1    0.943    0.000     0.94   37.033   0.000   1.872   0.000     0.00098         0.11910  0.00000             -       -             -            -             -
  62       1          1    0.933    0.000     0.93   36.545   0.000   1.893   0.000     0.00092         0.11156  0.00000             -       -             -            -             -
  63       1          1    0.961    0.000     0.96   45.399   0.000   1.962   0.000     0.00091         0.11048  0.00000             -       -             -            -             -
  64       1          1    0.948    0.000     0.95   45.789   0.000   1.733   0.000     0.00089         0.10809  0.00000             -       -             -            -             -
  65       1          1    0.905    0.000     0.90   42.108   0.000   1.829   0.000     0.00089         0.10802  0.00000             -       -             -            -             -
  66       1          1    0.916    0.000     0.92   35.320   0.000   1.787   0.000     0.00086         0.10429  0.00000             -       -             -            -             -
  67       1          1    0.927    0.000     0.93   49.796   0.000   2.649   0.000     0.00082         0.09922  0.00000             -       -             -            -             -
  68       1          1    1.098    0.000     1.10   56.495   0.000   3.081   0.000     0.00075         0.09070  0.00000             -       -             -            -             -
  69       1          1    0.903    0.000     0.90   45.762   0.000   2.081   0.000     0.00071         0.08636  0.00000             -       -             -            -             -
  70       1          1    0.907    0.000     0.91   55.081   0.000   2.572   0.000     0.00069         0.08390  0.00000             -       -             -            -             -
  71       1          1    0.927    0.000     0.93   53.566   0.000   2.489   0.000     0.00055         0.06634  0.00000             -       -             -            -             -
  72       2          2    0.919    0.017     0.94   55.577   2.863   2.320   0.070     0.00053         0.03214  0.00546             -       -             -            -             -
  73       1          1    0.948    0.000     0.95   62.697   0.000   2.064   0.000     0.00052         0.06327  0.00000             -       -             -            -             -
  74       1          1    0.910    0.000     0.91   48.549   0.000   1.483   0.000     0.00048         0.05848  0.00000             -       -             -            -             -
  75       1          1    0.905    0.000     0.91   57.647   0.000   3.531   0.000     0.00041         0.04994  0.00000             -       -             -            -             -
  76       1          1    0.921    0.000     0.92   57.174   0.000   2.887   0.000     0.00039         0.04701  0.00000             -       -             -            -             -
  77       1          1    1.098    0.000     1.10   73.590   0.000   3.273   0.000     0.00038         0.04632  0.00000             -       -             -            -             -
  78       1          1    0.915    0.000     0.91   62.786   0.000   2.353   0.000     0.00033         0.04049  0.00000             -       -             -            -             -
  79       1          1    0.907    0.000     0.91   67.915   0.000   2.915   0.000     0.00032         0.03826  0.00000             -       -             -            -             -
  80       1          1    0.903    0.000     0.90   60.613   0.000   2.465   0.000     0.00030         0.03689  0.00000             -       -             -            -             -
  81       1          1    0.933    0.000     0.93   62.688   0.000   2.303   0.000     0.00030         0.03658  0.00000             -       -             -            -             -
  82       1          1    0.912    0.000     0.91   62.488   0.000   3.580   0.000     0.00029         0.03567  0.00000             -       -             -            -             -
  83       1          1    0.907    0.000     0.91   82.659   0.000   3.018   0.000     0.00013         0.01517  0.00000             -       -             -            -             -
  84       1          1    0.917    0.000     0.92   81.115   0.000   2.747   0.000     0.00006         0.00715  0.00000             -       -             -            -             -



-----------------------------------------------------------------------
 Thank you for using CAVER, please cite:

 Chovancova, E., Pavelka, A., Benes, P., Strnad, O., Brezovsky, J.,
 Kozlikova, B., Gora, A., Sustr, V., Klvana, M., Medek, P.,
 Biedermannova, L., Sochor, J. Damborsky, J. (2012) CAVER 3.0: A Tool
 for the Analysis of Transport Pathways in Dynamic Protein Structures.
 PLoS Comput Biol 8: e1002708. doi:10.1371/journal.pcbi.1002708
-----------------------------------------------------------------------
