            ID: Identification of a given tunnel cluster = ranking of a given cluster 
                based on the Priority.
            No: Total number of tunnels belonging to a given cluster.
      No_snaps: Nubmer of snapshots with at least one tunnel 
                with a radius >= probe_radius (see config.txt).
        Avg_BR: Average bottleneck radius [A].
        Max_BR: Maximimum bottleneck radius [A].
         Avg_L: Average tunnel length [A].
         Avg_C: Average tunnel curvature.
      Priority: Tunnel priority calculated by averaging tunnel
                throughputs over all snapshots (zero value used for 
                snapshots without tunnel).
Avg_throughput: Average tunnel throughput.
   Avg_up_E_BR: Average upper error bound of bottleneck radius estimation.
   Avg_up_E_TR: Average upper error bound of tunnel profile radii estimation.
   Max_up_E_BR: Maximal upper errors bound of bottleneck radii estimation.
   Max_up_E_TR: Maximal upper error bound of tunnel radii estimation.
            SD: Standard deviation [A].
All averaged values are calculated over snapshots, where a given cluster has at least one tunnel. The only exception is the Priority, where the average is calculated over all snapshots.
If there are more tunnels in one snapshot, the cheapest tunnel is chosen. 



  ID      No   No_snaps   Avg_BR       SD   Max_BR    Avg_L      SD   Avg_C      SD    Priority  Avg_throughput       SD   Avg_up_E_BR      SD   Max_up_E_BR  Avg_up_E_TR   Max_up_E_TR
   1      71         71    1.024    0.106     1.35   17.822   2.129   1.236   0.120     0.25393         0.43276  0.07050             -       -             -            -             -
   2      23         23    1.002    0.071     1.12   28.097   3.602   1.522   0.145     0.05649         0.29719  0.07733             -       -             -            -             -
   3      17         17    1.084    0.179     1.53   22.860   4.001   1.390   0.104     0.05543         0.39455  0.10874             -       -             -            -             -
   4      19         19    1.015    0.099     1.25   22.629   2.205   1.381   0.074     0.05283         0.33643  0.06516             -       -             -            -             -
   5      11         11    0.985    0.087     1.20   22.957   2.838   1.388   0.101     0.03054         0.33598  0.06108             -       -             -            -             -
   6      18         18    0.947    0.048     1.08   31.181   4.731   1.715   0.219     0.02375         0.15963  0.03917             -       -             -            -             -
   7      12         12    0.960    0.062     1.10   30.357   5.629   1.757   0.298     0.02326         0.23454  0.06036             -       -             -            -             -
   8      11         11    0.983    0.098     1.21   35.534   5.210   1.697   0.235     0.02011         0.22120  0.06314             -       -             -            -             -
   9       8          8    1.004    0.076     1.09   28.266   2.793   1.387   0.082     0.01975         0.29873  0.06068             -       -             -            -             -
  10       8          8    0.940    0.061     1.10   27.140   2.170   1.437   0.086     0.01665         0.25189  0.05528             -       -             -            -             -
  11      10         10    0.937    0.043     1.06   26.748   4.573   1.462   0.250     0.01572         0.19025  0.07141             -       -             -            -             -
  12      10         10    0.983    0.059     1.10   34.619   3.198   1.752   0.105     0.01470         0.17784  0.03110             -       -             -            -             -
  13      14         14    0.939    0.034     1.02   37.321   4.344   1.591   0.274     0.01450         0.12532  0.03988             -       -             -            -             -
  14       6          6    0.973    0.064     1.07   24.474   2.434   1.554   0.109     0.01391         0.28061  0.06322             -       -             -            -             -
  15      11         11    0.984    0.090     1.16   41.871   4.262   1.541   0.145     0.01349         0.14838  0.04715             -       -             -            -             -
  16       8          8    0.962    0.062     1.10   34.454   5.245   1.613   0.103     0.01320         0.19962  0.08378             -       -             -            -             -
  17       9          9    0.984    0.062     1.10   32.735   1.575   2.045   0.189     0.01216         0.16345  0.02781             -       -             -            -             -
  18       6          6    0.974    0.082     1.12   37.746   5.199   1.576   0.169     0.01003         0.20233  0.07015             -       -             -            -             -
  19      10         10    0.974    0.076     1.14   46.313   4.450   2.183   0.217     0.00880         0.10651  0.02901             -       -             -            -             -
  20       6          6    0.940    0.025     0.97   36.395   5.223   2.104   0.214     0.00872         0.17586  0.04852             -       -             -            -             -
  21       6          6    0.957    0.021     0.98   32.836   3.457   1.558   0.442     0.00859         0.17316  0.03724             -       -             -            -             -
  22       4          4    1.021    0.077     1.12   27.230   2.721   1.564   0.101     0.00806         0.24386  0.07771             -       -             -            -             -
  23       5          5    0.956    0.051     1.02   32.490   4.371   1.486   0.168     0.00753         0.18233  0.05603             -       -             -            -             -
  24       3          3    1.047    0.096     1.17   29.354   4.588   1.309   0.034     0.00716         0.28871  0.08792             -       -             -            -             -
  25       3          3    0.982    0.087     1.10   28.550   1.995   1.833   0.206     0.00702         0.28308  0.02304             -       -             -            -             -
  26       5          5    0.930    0.023     0.97   37.068   5.061   2.168   0.119     0.00643         0.15562  0.06087             -       -             -            -             -
  27       8          8    0.975    0.070     1.10   50.497   6.166   2.502   0.382     0.00616         0.09316  0.03491             -       -             -            -             -
  28       3          3    0.982    0.087     1.10   36.782   4.288   1.868   0.182     0.00613         0.24736  0.03363             -       -             -            -             -
  29       3          3    0.927    0.010     0.93   31.867   1.647   2.160   0.156     0.00518         0.20893  0.02286             -       -             -            -             -
  30       2          2    1.074    0.138     1.21   34.688   3.382   1.759   0.155     0.00463         0.27997  0.01860             -       -             -            -             -
  31       3          3    0.923    0.011     0.93   39.608   3.975   2.151   0.180     0.00437         0.17635  0.01248             -       -             -            -             -
