            ID: Identification of a given tunnel cluster = ranking of a given cluster 
                based on the Priority.
            No: Total number of tunnels belonging to a given cluster.
      No_snaps: Nubmer of snapshots with at least one tunnel 
                with a radius >= probe_radius (see config.txt).
        Avg_BR: Average bottleneck radius [A].
        Max_BR: Maximimum bottleneck radius [A].
         Avg_L: Average tunnel length [A].
         Avg_C: Average tunnel curvature.
      Priority: Tunnel priority calculated by averaging tunnel
                throughputs over all snapshots (zero value used for 
                snapshots without tunnel).
Avg_throughput: Average tunnel throughput.
   Avg_up_E_BR: Average upper error bound of bottleneck radius estimation.
   Avg_up_E_TR: Average upper error bound of tunnel profile radii estimation.
   Max_up_E_BR: Maximal upper errors bound of bottleneck radii estimation.
   Max_up_E_TR: Maximal upper error bound of tunnel radii estimation.
            SD: Standard deviation [A].
All averaged values are calculated over snapshots, where a given cluster has at least one tunnel. The only exception is the Priority, where the average is calculated over all snapshots.
If there are more tunnels in one snapshot, the cheapest tunnel is chosen. 



  ID      No   No_snaps   Avg_BR       SD   Max_BR    Avg_L      SD   Avg_C      SD    Priority  Avg_throughput       SD   Avg_up_E_BR      SD   Max_up_E_BR  Avg_up_E_TR   Max_up_E_TR
   1      93         93    1.172    0.190     1.63   22.284   2.513   1.317   0.092     0.36124         0.47000  0.09440             -       -             -            -             -
   2      72         72    1.029    0.122     1.55   22.849   3.043   1.263   0.098     0.23507         0.39505  0.06441             -       -             -            -             -
   3      79         79    1.199    0.206     1.71   30.868   3.329   1.409   0.123     0.22612         0.34633  0.07542             -       -             -            -             -
   4      83         83    1.153    0.149     1.55   32.002   3.663   1.627   0.140     0.22271         0.32467  0.07750             -       -             -            -             -
   5      38         38    1.068    0.129     1.49   18.063   2.904   1.238   0.077     0.14779         0.47059  0.07120             -       -             -            -             -
   6      33         33    1.055    0.142     1.36   25.418   2.500   1.349   0.093     0.10223         0.37485  0.05547             -       -             -            -             -
   7      36         36    1.188    0.163     1.56   38.056   2.727   1.941   0.233     0.08043         0.27034  0.05748             -       -             -            -             -
   8      20         20    0.945    0.058     1.15   25.582   1.584   1.480   0.100     0.05515         0.33367  0.03970             -       -             -            -             -
   9      16         16    0.959    0.051     1.09   29.457   1.929   1.322   0.057     0.03237         0.24481  0.03851             -       -             -            -             -
  10       8          8    1.066    0.144     1.32   20.552   1.951   1.346   0.116     0.02629         0.39766  0.05490             -       -             -            -             -
  11      15         15    0.964    0.046     1.06   28.759   3.006   1.512   0.148     0.02560         0.20650  0.05270             -       -             -            -             -
  12       7          7    0.988    0.069     1.10   27.323   2.157   1.562   0.093     0.01832         0.31660  0.06729             -       -             -            -             -
  13       9          9    0.974    0.076     1.14   30.988   2.964   1.595   0.098     0.01601         0.21529  0.05578             -       -             -            -             -
  14       6          6    0.953    0.058     1.07   30.239   7.254   1.703   0.342     0.01558         0.31422  0.10601             -       -             -            -             -
  15       5          5    1.032    0.126     1.27   23.729   3.014   1.522   0.166     0.01494         0.36151  0.06318             -       -             -            -             -
  16       6          6    1.046    0.096     1.24   30.031   5.033   1.735   0.189     0.01469         0.29631  0.07998             -       -             -            -             -
  17       6          6    0.957    0.082     1.14   29.445   2.382   1.646   0.172     0.01259         0.25389  0.05431             -       -             -            -             -
  18       3          3    1.357    0.061     1.40   24.189   1.394   1.362   0.047     0.01221         0.49256  0.04564             -       -             -            -             -
  19       5          5    0.927    0.012     0.94   29.266   7.089   1.520   0.181     0.01059         0.25637  0.08086             -       -             -            -             -
  20       6          6    1.008    0.108     1.18   36.329   3.749   1.704   0.151     0.00946         0.19081  0.05605             -       -             -            -             -
  21       5          5    0.923    0.022     0.95   28.700   2.227   1.626   0.098     0.00896         0.21688  0.02897             -       -             -            -             -
  22       7          7    1.042    0.123     1.23   50.886   2.378   2.989   0.374     0.00837         0.14466  0.04914             -       -             -            -             -
  23       8          8    0.944    0.068     1.12   41.762   4.029   1.780   0.191     0.00719         0.10880  0.04092             -       -             -            -             -
  24       3          3    0.958    0.043     1.02   31.887   0.695   1.994   0.213     0.00685         0.27615  0.05787             -       -             -            -             -
  25       5          5    0.960    0.094     1.15   39.937   3.809   2.072   0.145     0.00653         0.15797  0.04884             -       -             -            -             -
  26       2          2    1.021    0.101     1.12   26.958   1.676   1.412   0.041     0.00650         0.39325  0.00323             -       -             -            -             -
  27       2          2    1.190    0.171     1.36   27.240   0.979   1.325   0.083     0.00587         0.35542  0.08047             -       -             -            -             -
  28       4          4    1.013    0.082     1.10   38.275   4.272   1.902   0.184     0.00586         0.17713  0.02370             -       -             -            -             -
  29       2          2    0.922    0.007     0.93   22.423   0.854   1.577   0.032     0.00535         0.32351  0.03536             -       -             -            -             -
  30       2          2    0.910    0.004     0.91   23.171   0.932   1.419   0.089     0.00462         0.27963  0.01216             -       -             -            -             -
  31       2          2    0.997    0.028     1.02   37.743   2.509   1.646   0.095     0.00428         0.25890  0.05741             -       -             -            -             -
  32       2          2    0.954    0.049     1.00   31.779   1.996   1.729   0.340     0.00394         0.23865  0.03155             -       -             -            -             -
  33       3          3    0.950    0.019     0.96   37.309   1.789   1.469   0.030     0.00371         0.14949  0.05947             -       -             -            -             -
  34       5          5    0.916    0.014     0.94   48.109   5.166   1.691   0.159     0.00367         0.08890  0.01885             -       -             -            -             -
  35       4          4    0.926    0.026     0.97   40.039   3.692   1.564   0.163     0.00349         0.10554  0.05504             -       -             -            -             -
  36       4          4    0.973    0.101     1.15   48.523   3.195   2.170   0.078     0.00346         0.10468  0.02238             -       -             -            -             -
  37       3          3    0.983    0.092     1.11   40.973   7.716   1.730   0.247     0.00339         0.13676  0.06839             -       -             -            -             -
  38       7          7    0.932    0.018     0.97   58.468   5.604   3.058   0.469     0.00333         0.05755  0.01582             -       -             -            -             -
  39       7          7    0.921    0.009     0.93   62.115   3.219   2.746   0.267     0.00307         0.05304  0.01185             -       -             -            -             -
  40       2          2    0.940    0.035     0.97   29.826   2.276   1.424   0.059     0.00295         0.17841  0.05952             -       -             -            -             -
  41       2          2    0.962    0.012     0.97   35.010   0.044   2.183   0.134     0.00294         0.17789  0.03395             -       -             -            -             -
  42       2          2    0.976    0.055     1.03   36.955   2.149   1.998   0.140     0.00268         0.16211  0.04145             -       -             -            -             -
  43       1          1    1.070    0.000     1.07   31.190   0.000   1.497   0.000     0.00201         0.24265  0.00000             -       -             -            -             -
  44       2          2    0.956    0.019     0.98   45.302   1.886   1.588   0.048     0.00198         0.11986  0.02486             -       -             -            -             -
  45       1          1    0.942    0.000     0.94   29.661   0.000   1.668   0.000     0.00195         0.23643  0.00000             -       -             -            -             -
  46       1          1    0.982    0.000     0.98   28.496   0.000   1.524   0.000     0.00191         0.23170  0.00000             -       -             -            -             -
  47       1          1    0.928    0.000     0.93   32.750   0.000   1.863   0.000     0.00188         0.22772  0.00000             -       -             -            -             -
  48       1          1    0.927    0.000     0.93   27.469   0.000   1.424   0.000     0.00184         0.22239  0.00000             -       -             -            -             -
  49       2          2    0.939    0.009     0.95   44.987   0.049   2.110   0.049     0.00177         0.10698  0.00533             -       -             -            -             -
  50       1          1    0.975    0.000     0.97   32.007   0.000   1.287   0.000     0.00166         0.20047  0.00000             -       -             -            -             -
  51       1          1    0.980    0.000     0.98   41.871   0.000   1.959   0.000     0.00161         0.19475  0.00000             -       -             -            -             -
  52       1          1    0.910    0.000     0.91   39.765   0.000   2.217   0.000     0.00149         0.18072  0.00000             -       -             -            -             -
  53       1          1    0.905    0.000     0.90   37.236   0.000   1.308   0.000     0.00138         0.16647  0.00000             -       -             -            -             -
  54       1          1    0.921    0.000     0.92   27.989   0.000   1.548   0.000     0.00133         0.16080  0.00000             -       -             -            -             -
  55       5          5    0.930    0.023     0.97   70.460   5.545   3.188   0.250     0.00115         0.02777  0.01315             -       -             -            -             -
  56       2          2    0.943    0.005     0.95   59.529   0.774   2.337   0.049     0.00113         0.06855  0.01426             -       -             -            -             -
  57       1          1    0.911    0.000     0.91   42.454   0.000   2.080   0.000     0.00107         0.12916  0.00000             -       -             -            -             -
  58       1          1    0.901    0.000     0.90   37.590   0.000   1.841   0.000     0.00106         0.12773  0.00000             -       -             -            -             -
  59       1          1    0.974    0.000     0.97   45.634   0.000   2.407   0.000     0.00105         0.12676  0.00000             -       -             -            -             -
  60       2          2    0.944    0.019     0.96   53.202   2.332   2.278   0.103     0.00103         0.06209  0.01730             -       -             -            -             -
  61       1          1    0.920    0.000     0.92   39.502   0.000   1.871   0.000     0.00100         0.12095  0.00000             -       -             -            -             -
  62       1          1    0.937    0.000     0.94   41.879   0.000   2.260   0.000     0.00097         0.11736  0.00000             -       -             -            -             -
  63       4          4    0.928    0.006     0.93   77.049   2.115   2.768   0.122     0.00094         0.02843  0.00416             -       -             -            -             -
  64       1          1    0.982    0.000     0.98   46.670   0.000   3.043   0.000     0.00087         0.10492  0.00000             -       -             -            -             -
  65       1          1    0.916    0.000     0.92   40.571   0.000   2.876   0.000     0.00085         0.10256  0.00000             -       -             -            -             -
  66       2          2    0.907    0.006     0.91   54.861   1.820   2.517   0.007     0.00078         0.04694  0.00180             -       -             -            -             -
  67       1          1    0.932    0.000     0.93   49.530   0.000   2.268   0.000     0.00076         0.09240  0.00000             -       -             -            -             -
  68       1          1    0.904    0.000     0.90   44.681   0.000   2.114   0.000     0.00071         0.08564  0.00000             -       -             -            -             -
  69       1          1    0.916    0.000     0.92   45.734   0.000   2.399   0.000     0.00070         0.08498  0.00000             -       -             -            -             -
  70       1          1    0.905    0.000     0.90   58.239   0.000   3.068   0.000     0.00069         0.08384  0.00000             -       -             -            -             -
  71       1          1    0.944    0.000     0.94   65.153   0.000   5.080   0.000     0.00067         0.08124  0.00000             -       -             -            -             -
  72       1          1    1.026    0.000     1.03   68.408   0.000   2.401   0.000     0.00062         0.07483  0.00000             -       -             -            -             -
  73       1          1    1.028    0.000     1.03   55.967   0.000   2.042   0.000     0.00060         0.07274  0.00000             -       -             -            -             -
  74       1          1    0.932    0.000     0.93   45.131   0.000   2.784   0.000     0.00055         0.06696  0.00000             -       -             -            -             -
  75       1          1    0.916    0.000     0.92   56.084   0.000   2.732   0.000     0.00054         0.06524  0.00000             -       -             -            -             -
  76       2          2    0.933    0.024     0.96   70.630   5.360   2.363   0.122     0.00053         0.03231  0.00305             -       -             -            -             -
  77       1          1    0.932    0.000     0.93   55.012   0.000   2.752   0.000     0.00042         0.05140  0.00000             -       -             -            -             -
  78       1          1    0.907    0.000     0.91   55.555   0.000   2.132   0.000     0.00042         0.05104  0.00000             -       -             -            -             -
  79       1          1    0.916    0.000     0.92   60.175   0.000   2.885   0.000     0.00040         0.04812  0.00000             -       -             -            -             -
  80       1          1    0.900    0.000     0.90   64.805   0.000   2.283   0.000     0.00038         0.04544  0.00000             -       -             -            -             -
  81       1          1    0.934    0.000     0.93   63.312   0.000   3.958   0.000     0.00033         0.03955  0.00000             -       -             -            -             -
  82       1          1    0.924    0.000     0.92   64.674   0.000   3.150   0.000     0.00026         0.03162  0.00000             -       -             -            -             -
  83       1          1    0.924    0.000     0.92   67.671   0.000   3.259   0.000     0.00024         0.02955  0.00000             -       -             -            -             -
  84       1          1    0.932    0.000     0.93   68.127   0.000   3.263   0.000     0.00020         0.02457  0.00000             -       -             -            -             -
  85       1          1    0.924    0.000     0.92   65.439   0.000   2.987   0.000     0.00018         0.02179  0.00000             -       -             -            -             -



-----------------------------------------------------------------------
 Thank you for using CAVER, please cite:

 Chovancova, E., Pavelka, A., Benes, P., Strnad, O., Brezovsky, J.,
 Kozlikova, B., Gora, A., Sustr, V., Klvana, M., Medek, P.,
 Biedermannova, L., Sochor, J. Damborsky, J. (2012) CAVER 3.0: A Tool
 for the Analysis of Transport Pathways in Dynamic Protein Structures.
 PLoS Comput Biol 8: e1002708. doi:10.1371/journal.pcbi.1002708
-----------------------------------------------------------------------
