            ID: Identification of a given tunnel cluster = ranking of a given cluster 
                based on the Priority.
            No: Total number of tunnels belonging to a given cluster.
      No_snaps: Nubmer of snapshots with at least one tunnel 
                with a radius >= probe_radius (see config.txt).
        Avg_BR: Average bottleneck radius [A].
        Max_BR: Maximimum bottleneck radius [A].
         Avg_L: Average tunnel length [A].
         Avg_C: Average tunnel curvature.
      Priority: Tunnel priority calculated by averaging tunnel
                throughputs over all snapshots (zero value used for 
                snapshots without tunnel).
Avg_throughput: Average tunnel throughput.
   Avg_up_E_BR: Average upper error bound of bottleneck radius estimation.
   Avg_up_E_TR: Average upper error bound of tunnel profile radii estimation.
   Max_up_E_BR: Maximal upper errors bound of bottleneck radii estimation.
   Max_up_E_TR: Maximal upper error bound of tunnel radii estimation.
            SD: Standard deviation [A].
All averaged values are calculated over snapshots, where a given cluster has at least one tunnel. The only exception is the Priority, where the average is calculated over all snapshots.
If there are more tunnels in one snapshot, the cheapest tunnel is chosen. 



  ID      No   No_snaps   Avg_BR       SD   Max_BR    Avg_L      SD   Avg_C      SD    Priority  Avg_throughput       SD   Avg_up_E_BR      SD   Max_up_E_BR  Avg_up_E_TR   Max_up_E_TR
   1      77         77    1.072    0.122     1.43   21.074   3.493   1.266   0.126     0.27082         0.42557  0.09378             -       -             -            -             -
   2      36         36    1.075    0.127     1.35   17.444   3.087   1.266   0.273     0.13632         0.45819  0.09985             -       -             -            -             -
   3      34         34    1.053    0.116     1.37   24.365   2.826   1.532   0.107     0.09625         0.34253  0.08867             -       -             -            -             -
   4      35         35    1.037    0.119     1.44   25.470   2.358   1.631   0.089     0.09381         0.32431  0.06004             -       -             -            -             -
   5      38         38    1.007    0.092     1.26   37.389   4.672   1.816   0.227     0.05860         0.18660  0.04793             -       -             -            -             -
   6      18         18    1.019    0.108     1.37   23.994   2.852   1.477   0.135     0.04941         0.33216  0.08502             -       -             -            -             -
   7      22         22    0.981    0.066     1.11   30.170   3.948   1.695   0.175     0.04172         0.22944  0.04776             -       -             -            -             -
   8      12         12    0.965    0.059     1.10   20.524   2.502   1.376   0.092     0.03203         0.32301  0.08405             -       -             -            -             -
   9      12         12    0.934    0.027     0.99   28.694   5.107   1.701   0.331     0.02075         0.20927  0.05669             -       -             -            -             -
  10      11         11    0.949    0.045     1.04   33.723   3.538   1.567   0.184     0.01873         0.20604  0.03919             -       -             -            -             -
  11      12         12    0.948    0.040     1.04   35.458   3.054   1.674   0.113     0.01707         0.17216  0.05621             -       -             -            -             -
  12       6          6    0.989    0.092     1.12   24.324   4.110   1.542   0.284     0.01432         0.28884  0.10084             -       -             -            -             -
  13      13         13    0.942    0.038     1.01   38.335   5.142   1.685   0.147     0.01389         0.12931  0.04186             -       -             -            -             -
  14      12         12    0.949    0.035     1.01   37.055   4.167   1.578   0.328     0.01353         0.13643  0.04931             -       -             -            -             -
  15       8          8    0.979    0.068     1.15   34.278   4.772   1.411   0.141     0.01166         0.17642  0.07062             -       -             -            -             -
